Percentage,Random Test F1,Wise Test F1,Random Val F1,Wise Val F1
0,0.04871832658186104,0.04871832658186104,0.05291529290186363,0.05291529290186363
1,0.8368688438028995,0.8440512875015498,0.832760427222621,0.836994635883908
2,0.9236296457311106,0.9277523565260838,0.9207157915927165,0.9237700877619701
3,0.950820091655066,0.9642225688707871,0.9486485433041606,0.9627724614047402
4,0.9590961342049857,0.9780588684955074,0.9583918619219434,0.9776318939600188
5,0.9665308063934429,0.9833137455578367,0.9660397868743067,0.9825706546351466
6,0.9682605740828475,0.9866926924054098,0.9704142435398481,0.9867660972514699
7,0.9724623046205227,0.9866852679220119,0.9722684620627191,0.9890809877771763
8,0.9735831112462927,0.9903217751035598,0.9738733395656105,0.9892535885866354
9,0.9752597718473746,0.989843282978162,0.9763301238700258,0.990078086662842
10,0.9766044988055811,0.9913321675364178,0.9773259012351515,0.9892821505640488
11,0.9782869627094438,0.9921268630303146,0.979483924198948,0.9899264656541027
12,0.9799505515775488,0.9917851177002206,0.9810774128638962,0.9904417204702376
13,0.9815031637710756,0.9919442747259897,0.9822163654634423,0.9899661171890515
14,0.9825246543138816,0.9916291998123696,0.983216520683146,0.9901290327503875
15,0.9813137926498902,0.9931012753916033,0.9833516093401379,0.9914643488839886
16,0.9825155616427403,0.9924415926175321,0.9840206581131588,0.9914733596667562
17,0.9832449623838884,0.9927827941867177,0.9845695975008228,0.9913054164961063
18,0.9847499426395577,0.9931122015858985,0.9844126555920318,0.991136352136411
19,0.9850636778260737,0.9926429215688849,0.9848838814460221,0.9910906427313904
20,0.9853921236344998,0.9926461865416437,0.9846499906123174,0.9909391602475626
